Id,tweets
221,": SCOOP -- Border Patrol agents are eelling migrants to Mexico in just minutes on average, with no medical checks. Unaut…"
222,: Ken Copeland's last brain cell died years ago.
223,
224,
225,". Intros Azure, Non-Azure Coronavirus Healthcare Chatbots"
226,Watch this video about Corona:
227,: Instacart is keeping pay low despite the danger and long delays at grocery stores. Instacart workers aren’t compensated for…
228,: won't go away. It'll infect the southern hemisphere as they winter and will want to come back to U.S. in fall…
229,I’m a scientist with a chronic illness. Here’s how I’m taking care of myself in the wake of... *gestures at everyth…
230,": : confirms there are ,157 cases of coronavirus in and deaths."
231,How To Adapt Your Content And Pr Strategies During The Pandemic more at
232,: A free press is the backbone of our democracy. Local journalism is essential to keeping us informed and holding power to…
233,": This article by misleadingly states that there are ""8 strains of coronavirus"" circulating. Because of this our …"
234,I am proud of Ford Motor Company. They did not take any government bailout in ; they help others and earn their…
235,: I'm very proud of the initiative from Amy Adams and our trustee Jennifer Garner. Grateful…
236,": Trump, you incompetent idiot! You sent tons of PPE to China early but ignored warnings &amp; called COVID19 concerns a…"
237,: BOOM: obliterates CNN ⬇️
238,
239,"""I want to keep the country calm."""
240,
241,"The coronavirus ""will go away."""
242,
243,"""We're…"
244,: Russia is constructing a new hospital to fight .
245,
246,"Meanwhile, as the US is facing a crisis of its own, i…"
247,: Disney executive chairman Bob Iger will forego his entire salary while other top executives will take major pay cuts to help pay e…
248,: thank you to for standing up for docs (&amp; all healthcare workers) on
249,: The men and women of have a message for you....
250,: An increasing number of health professionals are recommending people wear masks in public. Here are ways you can make you…
251,": Free lesson for hating Democrats, liberals, progressives, whatever you call yourself today....you don’t like th…"
252,": It's one of the most tone deaf moves I can think of, taking a pay hike and raising taxes in the middle of a health and eco…"
253,: Tablighi Jamaat is on purpose .....
254,: Hey Card Nation! My sister and I are practicing social distancing by staying in and making TikToks https:…
255,: Chinese eerts have built a new Polymerase Chain Reaction (PCR) lab in Iraq's capital Baghdad. The lab will increase the…
256,: “If only the Government had acted sooner!”
257,
258,-Leftists
259,
260,"“If only China hadn’t lied, or if we had listened better!”"
261,
262,- Cons…
263,": China gave the world poisoned dog food, toxic candy &amp; toothpaste, radioactive drywall, counterfeit electronic components,…"
264,": Companies are lining up to lobby for stimulus cash, approvals from the EPA, and regulatory changes. Amid a crisis, it’s…"
265,": Trump, you incompetent idiot! You sent tons of PPE to China early but ignored warnings &amp; called COVID19 concerns a…"
266,": Today pm EST, will host a Livestream on the coronavirus pandemic with Rep. Peter DeFazio (D-Ore.), Rev. Dr.…"
267,Can I get a “My Face Mask?”
268,
269,MAGA is a Verb 🇺🇸!
270,
271,Trump holds coronavirus press briefing | /30/20…
272,: I absolutely HATE the media!
273,
274,Are you watching these hateful idiots asking absolutely ridiculous questions of our very ha…
275,: I hear cardi b’s voice saying Coronavirus x a day in my head
276,: Downing Street hires Tory election chiefs to decide coronavirus messaging
277,: TL Asleep?
278,
279,"This pandemic has actually destabilized my whole life, I feel so uncertain and unmotivated. being social is eve…"
280,: What the fuck is the my pillow guy doing during a coronavirus press conference?
281,: RT if Andrew Cuomo should be removed from office for releasing child rapists from prison because he’s afraid they will g…
282,Try to count the lies
283,
284,: BREAKING NEWS
285,
286,"Illinois Governor J.B. Pritzker announced his state will take charge of coronavirus testing, citing Presid…"
287,Eating corona virus for lunch
288,Disappointed but not surprised because the NCAA is trash
289,: A free press is the backbone of our democracy. Local journalism is essential to keeping us informed and holding power to…
290,: This is incredibly concerning.
291,
292,It shows just how important it is that NHS staff have proper protective equipment – and w…
293,: Could a blood pressure or diabetes medicine make COVID-19 more severe? A proposed new theory says certain drugs may be responsib…
294,just aired an episode from October ... is that how many days we are going to be social distanci…
295,": Coronavirus update, Europe:"
296,
297,"- Spain: ,846 new cases"
298,"- Germany: ,447 new cases"
299,"- France: ,376 new cases"
300,"- Italy: ,05…"
301,"Thanks Bob Iger for literally cleaning up after Michael Eisner, but for also doing this."
302,…
303,": Johnson, Hancock, Whitty and Cummings infected by coronavirus. The message is loud and clear. This government is compla…"
304,: This is how democracies die:
305,
306,"When they cede too much power, give in to the decrees of an autocratic ruler, punish disse…"
307,: The NCAA has decided not to grant athletes from winter sports (including basketball) an extra year of eligibility due to…
308,: Only in Nigeria will you be fighting Corona Virus and Fake News at the same time.
309,: Here is your Treasure Coast-specific update:
310,
311,: . &amp; should stop airing Trump’s coronavirus press conferences. Raise your hand if you agree.
312,
313,": Trump, you incompetent idiot! You sent tons of PPE to China early but ignored warnings &amp; called COVID19 concerns a…"
314,": Once again, The Counterfeit News Network lives up to their reputation. Take a good long look everyone! This is a dying,…"
315,": The ,000-bed military hospital ship the has arrived in New York City, America's epicenter, wher…"
316,: Dictators always grabs the reins in times of crisis.
317,": You first, babe"
318,: A sad scene at Brooklyn Hospital
319,: CNN cuts away from the White House coronavirus briefing when Trump invites the My Pillow guy up to the podium to talk.
320,: . let your customers know that they have to be in a car to make an order OR pick up a mobile order. Bc cust…
321,": people complaining about another days on lockdown, well maybe you should STAY THE FUCK INSIDE THEN LIKE YOU’RE SUPPOSED TO"
322,: Deeply deeply grateful for this selflessness!
323,That can not be
324,Rapper Edem has organised his first-ever digital concert aimed at entertaining people while the country battles the…
325,": . Delhi: Jhandewalan Temple preparing food with Sewa Bharti for ,000 people"
326,But Aaj Tak falsely reported: Kejriwal's Comm…
327,"South Korea burning cash to prevent spreading the coronavirus &amp; Seoul, led a government initiative to introduce its…"
328,"While she was either making false accusations about President Trump or vacationing, he has been working. She is so…"
329,": ""three Asian American family members, including a -year-old and -year-old, were stabbed … The suspect indicated that h…"
330,": Despite the FDA approval of HCQ/AZM Democrat governors Cuomo (NY), Sisolak (NV), and Whitmer (MI) are restricting its use.…"
331,": ""You People"" no one should be surprised that used that while speaking to . It has been established…"
332,"The poor suffering most, huh???"
333,Nothing about that age-old phrase surprises me!
334,Can we all say “population control…
335,Rubio is correct. MSM is thrilled to use stat against Trump when China stat of k dead is hardly verifiable. Marco…
336,: //The newspaper says scientists have warned Johnson that China could have downplayed its number of confirmed cases of the…
337,: I am excited to announce some positive news ahead of our lockdown.
338,
339,We have just discharged formerly positve p…
340,Hell yeah !
341,: RT if Andrew Cuomo should be removed from office for releasing child rapists from prison because he’s afraid they will g…
342,": If you don’t want a surgeon to start intubating you, please stay at home."
343,: The trump Corona shitshow is in full gear now - he has a captive audience- he’ll abuse every second of it…
344,: Another worker from the spoke to us about why locations need to be closed and workers need to be compensated…
345,Four more coronavirus patients die in Moscow
346,"Yamiche this, bitch!"
347,Century-Old Vaccine Investigated as a Weapon Against
348,: CNN cuts away from the coronavirus task force press conference when My Pillow's Mike Lindell gets up to speak about how hi…
349,BREAKING: Daily New U.S. Coronavirus Cases Fall For The First Time In Days
350,: THE BIGGEST FAILURE OF A US PRESIDENT IN AMERICAN HISTORY 🤡
351,: Coronavirus funding slight emboldens D.C. Del. Eleanor Holmes Norton’s decades-long push for statehood
352,: Trump and the Republicans are trying to kick millions of Americans off their health insurance IN THE MIDDLE OF A PANDEMIC
353,: It's nice when they just say it...
354,
355,Trump says Republicans would ‘never’ be elected again if it was easier to vote https:/…
356,deleted bc i was stUpid n forgot say that its only virginia going on lockdown untill june
357,: Here's Dr Fauci immediately pouring cold water on Trump's hope that the coronavirus won't strike again in the fall
358,TMRW
359,"(3/3) :30-8:30pm Big Boss(Cancelled-COVID19) (1249 Wicker Dr, )"
360,": One of the most promising drugs to treat , has been shown in early trials to lead to improvement in…"
361,: This is how democracies die:
362,
363,"When they cede too much power, give in to the decrees of an autocratic ruler, punish disse…"
364,": Putin and Trump had another conversation. Reportedly, it was a long one, discussing and oil prices."
365,
366,As u…
367,: It's been a crime spree &amp; both parties are guilty.
368,: Episode | Headphones Show | LockDown Special
369,: Did the coronavirus write this
370,Our celeb guest tonight is NBA player at :00PDT.
371,
372,We will also have reading an opening C…
373,": In effect, Tump and Fox with their lies, understating the epidemic, killed this pastor - who believed their lies and put himse…"
374,: JUST IN - State of Emergency announced for the entire country of Belize due to the coronavirus outbreak - taking effect a…
375,'Impossible to comprehend': Stephen King on horrors of republican trump and coronavirus
376,
377,Horrors from the moment he…
378,: We must move forward on a fourth coronavirus stimulus package.
379,
380,"This bill must protect workers, not hand out more corpor…"
381,: *After the lockdown is lifted*
382,
383,Anyone: “the motive starts at ”
384,
385,"Me: “7.59pm, outside the motive”"
386,: Twitter Forces Laura Ingraham to Delete Post on Chloroquine Helping Coronavirus Patients
387,: Well was right to be suspicious. The endless levels of sadness in this crisis...
388,: statistical outliers that disprove the virus’ alleged deadliness:
389,
390,Japan: it’s because they bow and wear mas…
391,"""Widespread testing is unavailable in most of US/healthcare workers raise daily alarms about dire shortages of medi…"
392,: Hello
393,
394,This person is provoking his followers on his Instagram account (
395,": Our media spent every day in , showing black men getting killed by cops. It was a problem because it presented a fals…"
396,: Would be nice if someone from “the media” would ask about this. Seems like Nancy is lying and they’re covering for her.…
397,": ,200B Corona relief package approved by ECC."
398,
399,"• Rs ,000 for crore families."
400,
401,• Rs /month for million daily…
402,Russian government sets up group to refute fake news on coronavirus
403,: MSNBC host mocks private sector contributions to coronavirus response.
404,": As directed by President , Sadiya Farouk, minister of humanitarian affairs, disaster management and social develo…"
405,": Due to aka Ill be sending the first people to like &amp; retweet this $300 -$1500 through CashApp, or…"
406,: A free press is the backbone of our democracy. Local journalism is essential to keeping us informed and holding power to…
407,": Haven't seen any actual doctors at this coronavirus briefing, but at least we've got the My Pillow Guy"
408,
409,"Remind me again, wh…"
410,: The strain between Canadians laid off without pay versus mostly civil servants told to stay home with full pay is about to…
411,I miss going to the movies.
412,: Does it disgust you that we've got a president who hasn't comforted a SINGLE victim of but who brags about hi…
413,"🤞depends on how long the Covid19 closures last, sometime I envy you who have documents a drive away"
414,: Hunkering down gives us time to prepare. We're using every minute of it. …
415,: Hall of Fame RB OJ Simpson announces on Twitter that he has tested positive for the Coronavirus. Prayers up for OJ …
416,I think we have more imp things b concerned abt.
417,stepping up &amp; enforcing clubs t…
418,": Lagos has discharged Corona Virus Patients who have recovered fully. May everyone recover, Inshallah."
419,time to do a part of famous artist’s works that have been stolen
